node_station,client_count,x_station,y_station,station_count
19422611,470,-78.48195,38.020509999999994,1
19423261,553,-78.46471,38.030559999999994,1
19423304,381,-78.47589,38.034240000000004,1
19423684,702,-78.50121999999999,38.040459999999996,1
19423835,350,-78.48651,38.038990000000005,2
19423859,459,-78.48693,38.0457,1
19423995,46,-78.49861,38.0522,1
19424566,34,-78.48966,38.064,4
19424871,657,-78.49385,38.0324,1
19424875,39,-78.50780999999999,38.036590000000004,1
19424927,127,-78.50961,38.0415,1
19424931,326,-78.51954,38.026,2
19425021,132,-78.51526,38.03836,1
19425302,603,-78.4995,38.027879999999996,1
19425388,355,-78.51494,38.02342,1
19425506,697,-78.51722,38.01251,1
19425538,242,-78.50514,38.0158,1
19433905,560,-78.48168000000001,38.052659999999996,1
19434201,37,-77.25910999999999,37.499559999999995,1
19436354,763,-78.50679000000001,38.032109999999996,2
19437275,262,-77.27743000000001,38.67474,1
19437780,415,-78.5177,38.04544,1
19438711,25,-77.20533,38.9271,1
19439994,270,-78.25133000000001,39.20115,1
19440986,70,-77.87945,36.74442,1
19441003,143,-75.69781,37.70705,1
19441007,71,-77.48286,36.755390000000006,1
19451974,67,-81.04666999999999,36.94582,1
19451978,77,-80.95147,36.945409999999995,2
19452681,96,-80.17114000000001,37.25932,1
19453246,31,-79.18186,37.3637,1
19456317,27,-78.70512,38.61765,1
19457043,74,-78.90214,38.04463,1
19457047,166,-78.93584,38.05965,1
19457049,50,-78.94224,38.06159,1
19457070,54,-79.14451,38.02227,1
19457108,56,-79.41768,37.80243,1
19457367,233,-77.40607,39.03247,1
19457385,222,-77.37261,39.015240000000006,1
19458139,244,-77.35656999999999,38.86526,2
19458256,1317,-77.44974,38.8339,1
19458379,605,-77.12201999999999,38.866640000000004,1
19458590,473,-77.1264,38.849090000000004,1
19458595,403,-77.16816,38.83767,1
19458977,548,-77.16322,38.75687,1
19458984,487,-77.13985,38.78331,1
19459205,102,-77.21964,38.85966,1
19459390,59,-77.47308000000001,37.93878,1
19459726,50,-77.54153000000001,37.1048,1
19459746,268,-76.75123,37.33736,1
19459994,87,-76.73038000000001,37.35148,1
19460331,464,-76.74186999999999,37.32905,1
19460498,32,-77.51094,38.92613,1
19460780,67,-77.57476,36.5493,1
19460976,1339,-77.3492,38.861470000000004,1
19461134,1056,-77.30963,38.84133,1
19461156,433,-77.26916,38.814440000000005,1
19461281,585,-77.44753,37.66315,2
19461359,479,-76.2539,36.87516,1
19461417,925,-76.30293,36.84042,1
19461955,220,-77.08319,38.74985,1
19462048,407,-77.48085,37.47729,1
19462200,672,-77.18072,38.939029999999995,1
19462335,884,-76.11976,36.84342,1
19462477,1,-77.21446999999999,38.926109999999994,1
19462524,224,-77.25316,38.93217,1
19462700,257,-76.24277,36.74044,2
19462725,161,-76.47972,37.17853,1
19462784,524,-76.13687,36.846790000000006,2
19463570,375,-77.08176999999999,38.8734,1
19463871,143,-77.10693,38.80265,1
24772698,41,-83.62623,36.60018,1
24772803,379,-83.5167,36.62923,1
24772984,126,-83.35842,36.6764,1
24773359,162,-83.18926,36.67082,1
24773466,192,-83.19379,36.71994,1
24773623,253,-83.12779,36.68419,4
24773638,211,-83.11099,36.68902,1
24773757,125,-83.10803,36.69488,1
24774095,141,-83.03135999999999,36.61886,1
24774325,205,-83.04545999999999,36.75043,1
24774338,296,-83.03135999999999,36.75607,2
24774584,206,-83.03225,36.7696,1
24774651,85,-83.02148000000001,36.761140000000005,2
24774965,149,-82.99209,36.731609999999996,1
24774990,76,-83.00564,36.74537,1
24775015,203,-82.96205,36.7104,1
24775339,188,-82.90653,36.70776,2
24775452,262,-82.875,36.71049,2
24775665,148,-82.95463000000001,36.7731,1
24776810,120,-82.79848,36.72201,1
24777416,80,-82.74601,36.70503,1
24778015,243,-82.83433000000001,36.88134,1
24778188,607,-82.7835,36.860240000000005,2
24778249,126,-82.78063,36.87523,1
24778317,136,-82.76449000000001,36.87622,1
24778780,184,-82.75084,36.8813,1
24778923,207,-82.73834000000001,36.8772,1
24778946,254,-82.73694,36.87559,1
24779601,227,-82.59973000000001,36.6331,2
24779892,86,-82.61797,36.75761,1
24780005,209,-82.58275,36.63626,4
24780170,41,-82.5647,36.63798,1
24781578,139,-82.47019,36.65274,2
24781667,327,-82.45313,36.70773,1
24782362,232,-82.38086,36.773720000000004,2
24783494,236,-82.69045,37.09197,1
24783550,233,-82.67005999999999,36.92653,1
24783727,353,-82.63517,36.93179,3
24783755,228,-82.62418000000001,36.93562,2
24783970,17,-82.61128000000001,36.9383,2
24784220,177,-82.59931,37.05064,1
24784411,165,-82.58958,36.96805,1
24784437,173,-82.594,36.988690000000005,1
24784505,155,-82.57392,36.97509,1
24784551,186,-82.56093,36.96955,1
24784693,273,-82.53599,37.003840000000004,1
24784921,87,-82.56076999999999,37.05193,1
24785408,36,-82.63029,37.09129,1
24785537,15,-82.59983000000001,37.08955,1
24785610,133,-82.61328,37.123709999999996,1
24785653,103,-82.59812,37.11797,1
24785682,138,-82.6006,37.12639,1
24786465,189,-82.47309,36.94106,1
24786534,56,-82.461,36.93663,1
24786543,427,-82.45926999999999,36.93458,1
24787436,570,-82.40489000000001,36.98571,1
24787480,307,-82.3858,36.93231,1
24788998,43,-82.36967,37.16218,1
24790684,90,-82.24218,36.59622,1
24790738,392,-82.31321,36.62243,1
24791145,76,-82.23313,36.60458,1
24791177,515,-82.23635999999999,36.62032,3
24791260,229,-82.22308000000001,36.604690000000005,1
24791423,213,-82.21607,36.67736,1
24792345,94,-82.31185,36.90247,2
24792417,113,-82.31084,36.906259999999996,5
24792437,379,-82.30049,36.871520000000004,1
24792717,247,-82.30944000000001,36.90599,2
24793277,274,-82.21155999999999,36.83755,1
24794126,261,-82.12521,36.62345,1
24794169,67,-82.11845,36.631479999999996,1
24794312,54,-82.17615,36.70324,1
24794634,151,-82.10058000000001,36.64242,2
24794698,113,-82.08208,36.6549,3
24794705,228,-82.0785,36.65726,2
24794740,55,-82.04352,36.596740000000004,1
24794843,246,-82.06331999999999,36.66623,1
24795085,75,-82.0331,36.6826,1
24795121,411,-82.02368,36.70753,1
24795498,361,-82.14276,36.82346,1
24795791,104,-82.11225999999999,36.85869,1
24795798,172,-82.11185,36.861270000000005,1
24796152,81,-82.0255,36.80284,1
24796313,502,-82.09543000000001,36.89457,2
24796437,268,-82.08986999999999,36.90526,1
24796536,93,-82.06044,36.89985,1
24797104,297,-81.99772,36.63012,1
24797850,333,-81.96583000000001,36.6657,1
24798038,178,-82.00046,36.70636,1
24798141,105,-81.97363,36.6954,1
24798164,131,-81.97822,36.69988,1
24798179,168,-81.97416,36.702420000000004,1
24798245,505,-81.95045,36.718090000000004,1
24798831,276,-81.90921999999999,36.69943,1
24798956,413,-81.87897,36.6812,1
24799049,150,-81.86239,36.74377,1
24799102,61,-82.01495,36.80858,1
24799954,256,-81.881,36.777190000000004,1
24800039,143,-81.86418,36.76296,1
24800603,154,-81.78859,36.63491,1
24800623,68,-81.78133000000001,36.63015,2
24800698,171,-81.79754,36.640440000000005,2
