rating,connection,length,< 0.97,< 0.95,< 0.92,< 0.9
30,optimal,3585.7202810448653,13,1,0,0
50,optimal,3587.35186861307,13,1,0,0
100,optimal,3724.7153772538586,13,1,0,0
120,optimal,3743.6613725037896,13,1,0,0
150,optimal,3675.1916342863988,13,1,0,0
180,optimal,3344.4049102047284,13,1,0,0
250,optimal,3868.7169846333272,13,1,0,0
350,optimal,3724.7153772538586,13,1,0,0
30,nearest,337.8517954130657,13,1,0,0
50,nearest,337.8517954130657,13,1,0,0
100,nearest,337.8517954130657,90,1,0,0
120,nearest,337.8517954130657,157,1,0,0
150,nearest,337.8517954130657,192,11,0,0
180,nearest,337.8517954130657,220,98,0,0
250,nearest,337.8517954130657,525,180,18,0
350,nearest,337.8517954130657,669,265,151,77
